"EntityId","Labels","Domain","SourceFile"
"automation.badrumsfonster_hog_fukt_larm","Area: Badrum; Automation; F̦nsterljus","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-ventilation.yaml"
"automation.bilen_stannar","Automation; Volvo","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\integrations\volvo.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.bilen_startar","Automation; Volvo","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\integrations\volvo.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.blink_light_person_detected","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\frigate\frigate_person_detected.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.blink_light_when_detcection_cam_5","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\frigate\frigate_animal_detected.yaml"
"automation.blinka_med_lyset_vid_jobba_hemifran","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.camera_1_folder_watcher_activated","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_1_image_processing","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_1_light_control_on","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_10_folder_watcher_activated","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_10_image_processing","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_10_light_control_on","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_2_folder_watcher_activated","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_2_image_processing","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_2_light_control_on","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_4_image_processing","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_5_image_processing","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_6_image_processing","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_7_image_processing","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_detection_daily_summary_report","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-camera.yaml"
"automation.camera_motion_reset_duration_time","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.camera_motion_set_duration_time","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.cpu_temp_58_0","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.cpu_temp_58_5","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.cpu_temp_59_0","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.cpu_temp_59_5","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.cpu_temp_above_59_5","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.cpu_temp_below_58_0","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.daylight_off_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.daylight_off_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.daylight_on_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.daylight_on_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.delete_old_camera_snapshots","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-camera.yaml"
"automation.device_offline_alert","Automation; LED","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-packages-detailed.yaml"
"automation.doorbell_notification","Automation; LED","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-packages-detailed.yaml"
"automation.elvarme_friggebod","Area: Friggebod; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.elvarme_garage","Area: Garage; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.facade_light_changed","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.facade_light_option_migration","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.fasadbelysning_resolver","Area: Ute; Automation; Fasad","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.first_automation","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\extra\tests\test_generate_ui_dashboards.py"
"automation.first_internal_id","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\extra\tests\test_generate_ui_dashboards.py"
"automation.forcerad_badrumsfonster_hog_fukt","Area: Badrum; Automation; F̦nsterljus","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-ventilation.yaml"
"automation.forcerad_snabbt_okande_fukt","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.forrad_komplett_smart_varmestyrning","Area: F̦rr̴d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.forrad_mogelvarning","Area: F̦rr̴d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\climate\diagnostics.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.forrad_rakna_varmetid","Area: F̦rr̴d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.forrad_reset_varmetid","Area: F̦rr̴d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.forrad_smart_varmestyrning","Area: F̦rr̴d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.forrad_temperaturlarm","Area: F̦rr̴d; Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.forrad_temperaturvarning","Area: F̦rr̴d; Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.frigate_animal_detection_snapshot","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-camera.yaml"
"automation.frigate_media_cleanup","Automation; Frigate; LED","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-packages-detailed.yaml"
"automation.frigate_person_detection_snapshot","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-camera.yaml"
"automation.friggebod_komplett_smart_varmestyrning","Area: Friggebod; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.friggebod_mogelvarning","Area: Friggebod; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\climate\diagnostics.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.friggebod_rakna_varmetid","Area: Friggebod; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.friggebod_reset_varmetid","Area: Friggebod; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml"
"automation.friggebod_temperaturlarm","Area: Friggebod; Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.frys_temperaturlarm","Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.frysvakt_akut_larm","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.garage_avfuktare_styrning","Area: Garage; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.garage_mogelvarning","Area: Garage; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\climate\diagnostics.yaml"
"automation.global_automation","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\extra\tests\test_generate_ui_dashboards.py"
"automation.godnatt","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
